[INGEST]    Connecting to Wikipedia SSE stream...
[HUMAN]    commons.wikimedia.org | drift=0.25ms | exec=0.04ms | total=0.29ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=3.21ms | exec=0.09ms | total=3.30ms | DEADLINE MISS
[HUMAN]    it.wikisource.org | drift=2.71ms | exec=0.08ms | total=2.78ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.27ms | exec=0.06ms | total=0.33ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.08ms | exec=0.07ms | total=0.15ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=12.87ms | exec=0.17ms | total=13.04ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.44ms | exec=0.11ms | total=2.56ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.99ms | exec=0.14ms | total=2.13ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.33ms | exec=0.12ms | total=0.45ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.48ms | exec=0.06ms | total=1.54ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=3.37ms | exec=0.13ms | total=3.50ms | DEADLINE MISS
[HUMAN]    az.wikipedia.org | drift=1.97ms | exec=0.08ms | total=2.05ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.47ms | exec=0.11ms | total=1.58ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.75ms | exec=0.11ms | total=1.85ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.63ms | exec=0.04ms | total=0.67ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.44ms | exec=0.05ms | total=1.48ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.05ms | exec=0.27ms | total=1.32ms | DEADLINE MET 
[HUMAN]    incubator.wikimedia.org | drift=5.18ms | exec=0.09ms | total=5.27ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.89ms | exec=0.28ms | total=3.17ms | DEADLINE MISS
[HUMAN]    ja.wikipedia.org | drift=1.31ms | exec=0.10ms | total=1.41ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.09ms | exec=0.12ms | total=0.21ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=2.77ms | exec=0.08ms | total=2.85ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.42ms | exec=0.14ms | total=0.56ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.63ms | exec=0.13ms | total=0.76ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.11ms | exec=0.13ms | total=2.24ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.47ms | exec=0.08ms | total=1.55ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=4.69ms | exec=0.13ms | total=4.82ms | DEADLINE MISS
[HUMAN]    ko.wikipedia.org | drift=0.80ms | exec=0.09ms | total=0.90ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=11.76ms | exec=0.18ms | total=11.94ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.47ms | exec=0.16ms | total=0.63ms | DEADLINE MET 
[HUMAN]    fr.wikipedia.org | drift=0.69ms | exec=0.14ms | total=0.83ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=5.88ms | exec=0.16ms | total=6.03ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.86ms | exec=0.18ms | total=1.04ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.92ms | exec=0.17ms | total=2.08ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.76ms | exec=0.24ms | total=1.00ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.17ms | exec=0.11ms | total=1.29ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.82ms | exec=0.12ms | total=0.94ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.63ms | exec=0.08ms | total=1.71ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.08ms | exec=0.08ms | total=2.16ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.62ms | exec=0.06ms | total=1.69ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=2.15ms | exec=0.07ms | total=2.22ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.83ms | exec=0.04ms | total=1.88ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.94ms | exec=0.08ms | total=2.02ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.48ms | exec=0.07ms | total=0.55ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=9.23ms | exec=0.06ms | total=9.29ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=3.06ms | exec=0.19ms | total=3.24ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.95ms | exec=0.14ms | total=1.09ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.95ms | exec=0.08ms | total=1.03ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.80ms | exec=0.15ms | total=0.96ms | DEADLINE MET 
[HUMAN]    bjn.wikiquote.org | drift=0.85ms | exec=0.12ms | total=0.97ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=2.43ms | exec=0.14ms | total=2.56ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.95ms | exec=0.08ms | total=2.03ms | DEADLINE MISS
[HUMAN]    fr.wikipedia.org | drift=1.71ms | exec=0.05ms | total=1.77ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.59ms | exec=0.07ms | total=0.66ms | DEADLINE MET 
