[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[HUMAN]    commons.wikimedia.org | drift=1.29ms | exec=0.07ms | total=1.36ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.11ms | exec=0.08ms | total=1.18ms | DEADLINE MET 
[BOT  ]    pl.wikipedia.org | drift=1.01ms | exec=0.11ms | total=1.12ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.57ms | exec=0.18ms | total=1.75ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.01ms | exec=0.17ms | total=0.19ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.03ms | exec=0.16ms | total=1.19ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.90ms | exec=0.08ms | total=0.98ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.92ms | exec=0.20ms | total=2.13ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=0.92ms | exec=0.17ms | total=1.09ms | DEADLINE MET 
[BOT  ]    nl.wikipedia.org | drift=1.11ms | exec=0.20ms | total=1.30ms | DEADLINE MET 
[BOT  ]    ru.wikipedia.org | drift=0.60ms | exec=0.11ms | total=0.71ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=1.02ms | exec=0.07ms | total=1.09ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.23ms | exec=0.09ms | total=0.32ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.82ms | exec=0.09ms | total=0.90ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.37ms | exec=0.10ms | total=0.48ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.37ms | exec=0.11ms | total=1.48ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.09ms | exec=0.05ms | total=1.14ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=1.91ms | exec=0.14ms | total=2.05ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.13ms | exec=0.15ms | total=0.28ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.22ms | exec=0.18ms | total=0.40ms | DEADLINE MET 
[HUMAN]    pt.wikipedia.org | drift=1.01ms | exec=0.09ms | total=1.11ms | DEADLINE MET 
[HUMAN]    en.wikisource.org | drift=0.86ms | exec=0.11ms | total=0.98ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.80ms | exec=0.13ms | total=0.92ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.60ms | exec=0.17ms | total=0.76ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.48ms | exec=0.11ms | total=1.59ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.64ms | exec=0.10ms | total=0.74ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.68ms | exec=0.09ms | total=1.76ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.67ms | exec=0.07ms | total=0.74ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.19ms | exec=0.07ms | total=0.26ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.73ms | exec=0.06ms | total=0.80ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.16ms | exec=0.12ms | total=1.27ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.76ms | exec=0.07ms | total=0.83ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.96ms | exec=0.10ms | total=1.06ms | DEADLINE MET 
[HUMAN]    ko.wikipedia.org | drift=0.85ms | exec=0.10ms | total=0.95ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.83ms | exec=0.10ms | total=0.93ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.01ms | exec=0.06ms | total=0.07ms | DEADLINE MET 
