[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[INGEST] Read error: error decoding response body
[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[BOT  ]    commons.wikimedia.org | drift=1.07ms | exec=0.09ms | total=1.16ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.09ms | exec=0.03ms | total=0.12ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.48ms | exec=0.06ms | total=0.54ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.50ms | exec=0.03ms | total=0.52ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.62ms | exec=0.15ms | total=0.77ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.02ms | exec=0.24ms | total=1.26ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.55ms | exec=0.13ms | total=1.69ms | DEADLINE MET 
[HUMAN]    id.wikipedia.org | drift=0.85ms | exec=0.06ms | total=0.91ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.98ms | exec=0.11ms | total=1.08ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.96ms | exec=0.11ms | total=1.07ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.79ms | exec=0.12ms | total=0.91ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.91ms | exec=0.09ms | total=1.00ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.76ms | exec=0.12ms | total=0.87ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.03ms | exec=0.09ms | total=1.12ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=0.47ms | exec=0.07ms | total=0.54ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.79ms | exec=0.10ms | total=0.89ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.91ms | exec=0.06ms | total=0.97ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.91ms | exec=0.12ms | total=1.03ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.70ms | exec=0.10ms | total=0.81ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.05ms | exec=0.06ms | total=0.12ms | DEADLINE MET 
[HUMAN]    ru.wikivoyage.org | drift=0.86ms | exec=0.11ms | total=0.97ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.47ms | exec=0.09ms | total=1.55ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.21ms | exec=0.05ms | total=0.26ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.01ms | exec=0.06ms | total=1.07ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.29ms | exec=0.08ms | total=1.36ms | DEADLINE MET 
[BOT  ]    zh.wikipedia.org | drift=0.58ms | exec=0.06ms | total=0.64ms | DEADLINE MET 
[HUMAN]    fr.wikipedia.org | drift=1.35ms | exec=0.17ms | total=1.52ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.13ms | exec=0.07ms | total=1.20ms | DEADLINE MET 
