[INGEST]    Connecting to Wikipedia SSE stream...
[HUMAN]    www.wikidata.org | drift=0.19ms | exec=0.11ms | total=0.30ms | DEADLINE MET 
[HUMAN]    ms.wikipedia.org | drift=0.25ms | exec=0.05ms | total=0.30ms | DEADLINE MET 
[HUMAN]    ko.wikipedia.org | drift=1.03ms | exec=0.04ms | total=1.07ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.77ms | exec=0.07ms | total=0.83ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.85ms | exec=0.09ms | total=1.94ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.32ms | exec=0.03ms | total=1.35ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.68ms | exec=0.03ms | total=1.71ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.37ms | exec=0.04ms | total=1.41ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=2.11ms | exec=0.07ms | total=2.18ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.95ms | exec=0.03ms | total=1.98ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=3.84ms | exec=0.06ms | total=3.90ms | DEADLINE MISS
[HUMAN]    zh.wikipedia.org | drift=1.62ms | exec=0.12ms | total=1.74ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.76ms | exec=0.14ms | total=0.91ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.76ms | exec=0.09ms | total=2.85ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.30ms | exec=0.05ms | total=2.35ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.70ms | exec=0.07ms | total=1.77ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.57ms | exec=0.06ms | total=0.63ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.26ms | exec=0.08ms | total=2.34ms | DEADLINE MISS
[HUMAN]    fr.wikipedia.org | drift=0.41ms | exec=0.03ms | total=0.44ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=10.11ms | exec=0.10ms | total=10.21ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=14.38ms | exec=0.17ms | total=14.55ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=8.91ms | exec=0.15ms | total=9.07ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.38ms | exec=0.27ms | total=0.65ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=5.42ms | exec=0.16ms | total=5.58ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.05ms | exec=0.15ms | total=1.20ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.49ms | exec=0.10ms | total=1.59ms | DEADLINE MET 
